name,count
Alessio,6
Alesya,3
Alethea,3
Aletta,1
Alette,1
Alex,183
Alexa,15
Alexander,218
Alexandra,121
Alexandre,67
Alexandrina,2
Alexandro,1
Alexandros,15
Alexandru,31
Alexei,12
Alexeis,1
Alexej,1
Alexi,2
Alexia,7
Alexios,1
Alexis,56
Alexus,1
Aleya,1
Alf,20
Alfons,15
Alfonso,41
Alfrd,1
Alfrds,2
Alfre,2
Alfred,165
Alfred-Julien,1
Alfredo,71
Alges,1
Algimantas,2
Algirdas,1
Algis,1
Algot,1
Algoth,1
Alhassan,1
Ali,116
Alia,2
Alibek,1
Alice,54
Alicia,49
Alick,1
Aliecer,1
Alik,1
Aliki,1
Alim,2
Alimata,1
Alimbeg,1
Alin,1
Alina,18
Aline,12
Alioune,1
Alipi,1
Alireza,4
Alisa,14
Alisha,5
Alisher,5
Alison,100
Alissa,17
Alistair,10
Alistar,1
Alister,4
Alix,5
Aliyah,1
Alizee,1
Aljoa,2
Alla,9
Allah,1
Allal,2
Allan,67
Allaoua,2
Allegra,2
Allen,37
Allerton,1
Allin,1
Allison,153
Allistar,1
Allister,1
Allodin,1
Alloysius,1
Allyn,3
Allysha,1
Allyson,9
Alma,8
Almabruk,1
Almas,1
Almaz,1
Almazbek,1
Almensh,1
Almighty,1
Almiro,1
Almudena,1
Almut,1
Almuth,1
Alois,31
Aloisie,1
Alojz,2
Alojzy,2
Alon,1
Alona,2
Alonso,5
Alonzo,4
Alosio,1
Aloysius,1
Alper,1
Alpha,1
Alphonce,1
Alphons,1
Alphonse,23
Alphonsine,1
Alphonso,2
Alpr,1
Alrik,1
Altan,1
Alton,3
Aluan,1
Alun,1
Alusio,1
Alva,3
Alvar,1
Alvaro,14
Alvin,11
Alvydas,1
Alwin,5
Alyce,1
Alyona,2
Alysbeth,1
Alysha,1
Alysia,3
Alyson,19
Alyssa,52
Alyxandria,1
Ama,1
Amadeo,3
Amado,4
Amador,1
Amadou,6
Amaechi,1
Amaia,2
Amaka,1
Amala,1
Amalia,3
Amalie,2
Amaliya,1
Aman,2
Amanda,240
Amandine,3
Amar,8
Amar'e,1
Amara,1
Amarildo,1
Amarjeet,1
Amarjit,3
Amarnath,1
Amaru,1
Amas,1
Amauris,1
Amaurys,1
Amaya,2
Amber,33
Ambesse,1
Ambika,1
Ambrogio,2
Ambroise,1
Ambrose,2
Ambrosio,3
Ambrosius,1
Ambrus,2
Ambruse,1
Amde,2
Amede,1
Amedeo,10
Ameen,1
Ameer,2
Amel,4
Amelia,19
Amelie,4
Amer,3
Ami,13
Amidou,1
Amilcar,1
Amilcare,2
Amilio,1
Amin,8
Amina,3
Aminat,1
Aminata,5
Aminath,1
Amine,4
Aminu,1
Amir,18
Amira,4
Amiran,2
Amiri,2
Amirul,1
Amit,7
Amjad,2
Amleto,1
Amlie,3
Ammaar,1
Ammara,1
Amon,2
Amor,3
Amornrat,1
Amory,1
Amos,12
Amosa,1
Amour,1
Amparo,1
Amplio,1
Ampol,2
Amr,2
Amrico,4
Amro,4
Amrou,1
Amsale,2
Amund,1
Amy,423
An,31
An-Li,1
Ana,58
Ana-Maria,1
Anabel,3
Anaclet,1
Anacleto,2
Anahit,1
Anala,1
Anamaria,3
Anan,1
Anand,2
Anant,1
Anas,5
Anast'asia,1
Anastacio,1
Anastasia,11
Anastasija,1
Anastasios,13
Anastasiya,44
Anatole,3
Anatoli,4
Anatolie,1
Anatolii,2
Anatolijus,1
Anatoliy,12
Anatoly,56
Anayansi,1
Anbal,1
Ancel,1
Ancua,1
Anda,2
Ander,1
Anders,76
Anderson,3
Andi,4
Andile,1
Andisiwe,1
Andon,2
Andor,2
Andr,116
Andr-Jacques,1
Andr-Marie,1
Andra,3
Andranik,3
Andras,1
Andre,32
Andrea,277
Andreas,125
Andreea,7
Andrei,42
Andreia,4
Andrej,18
Andreja,2
Andrejs,4
Andrejus,1
Andres,23
Andressa,2
Andreu,1
Andrew,524
Andrey,106
Andria,1
Andriana,1
Andrija,6
Andrijana,1
Andris,3
Andrius,3
Andriy,24
Andrs,39
Andrus,2
Andry,1
Andrzej,82
Andy,99
Ane,4
Aneka,1
Anel,3
Anelko,1
Anelo,1
Anelson,1
Anet-Jacqueline,1
Aneta,4
Anete,2
Anetta,1
Anette,6
Angel,38
Angela,141
Angeli,1
Angelica,17
Angelik,1
Angelika,6
Angeliki,4
Angelina,18
Angeline,3
Angelines,1
Angelique,5
Angelo,54
Angelos,4
Anggun,1
Angie,42
Angiolo,2
Angkhan,1
Anglica,3
Anglique,1
Angsuman,1
Angus,17
Ani,4
Anibl,1
Anicet,1
Aniceto,1
Anicka,2
Anier,1
Anik,4
Anika,4
Anil,7
Anilda,1
Anilus,1
Anioara,1
Anirban,1
Anis,5
Anisa,1
Anish,1
Anisha,1
Anissa,2
Anita,31
Anitsa,1
Aniuar,1
Aniya,1
Anja,15
Anja-Nadin,1
Anjelika,1
Anjelina,1
Anju,2
Anjum,2
Anka,1
Anke,4
Ankit,1
Ankita,2
Ankur,1
Anlloyd,1
Ann,71
Ann-Marie,1
Anna,261
Anna-Emilie,1
Anna-Kristina,1
Anna-Liisa,1
Anna-Liza,1
Anna-Maria,2
Annabel,2
Annabella,4
Annabelle,7
Annacatia,1
Annalisa,5
Annamarie,3
Annar,1
Annari,1
Anne,187
Anne-Caroline,2
Anne-Laure,1
Anne-Lise,2
Anne-Marie,14
Anne-Sophie,4
Annedore,1
Anneisha,1
Annelie,2
Annelies,2
Anneliese,1
Anneloes,1
Annemarie,3
Annemette,1
Annemiek,2
Annesley,1
Annett,2
Annette,33
Annia,1
Anniara,1
Annibale,2
Annick,2
Annie,52
Annika,13
Annsert,1
Ano,1
Anolyn,1
Anoop,1
Anouar,2
Anouer,1
Anouk,5
Anoumou,1
Anriette,1
Ansela,1
Anselmo,2
Ansgar,1
Anssi,3
Ansuya,1
Anta,1
Antal,13
Antanas,5
Antar,1
Antarge,1
Ante,6
Antenore,2
Antero,3
Anthimos,1
Anthon,1
Anthonij,1
Anthonny,1
Anthony,229
Anthresh,1
Anthuan,1
Antigoni,1
Antiopi,1
Antipass,1
Antje,5
Antn,1
Antnio,15
Antoine,46
Antoinette,7
Anton,82
Antonel,1
Antonela,1
Antonella,9
Antonello,2
Antoni,25
Antonia,11
Antonida,1
Antonie,2
Antonietta,3
Antonija,3
Antonin,1
Antonino,3
Antonio,172
AntonioDavid,1
Antonios,17
Antonis,1
Antoniu,1
Antonius,1
Antonn,15
Antony,9
Antoon,4
Antri,1
Antti,18
Antti-Jussi,2
Antulio,2
Antun,1
Antwon,1
Anu,4
Anuj,2
Anum,1
Anup,1
Anuradha,1
Anuruddha,1
Anush,1
Anushavan,1
Anuwat,1
Anwar,3
Anwer,1
Anzhela,1
Anzhelika,2
Anzor,3
Ao,2
Aoife,5
Aona,1
Apelu,1
Apete,1
Aphthar,1
Apinan,1
Apinya,1
Apisai,1
Apolinaras,1
Apolinrio,1
Apollinarie,1
Apolline,1
Apolonia,1
Aporosa,1
Apostol,1
Apostolia,1
Apostolos,6
Appolinariya,1
Appunidage,1
April,22
Aprilia,1
Apti,1
Apurvi,1
Aqarab,1
Ara,1
Arabelly,1
Araceli,1
Arajik,1
Aram,2
Aramby,1
Aramis,1
Aran,1
Aranka,1
Arashi,1
Arata,2
Arati,1
Arbi,1
Arcadie,1
Arcadio,3
Arcadius,1
Arcangeline,1
Arcangelo,1
Archer,1
Archibald,8
Archil,1
Arda,1
Ardashes,1
Ardy,1
Aredio,1
Arely,1
Areneo,1
Areti,1
Argenis,1
Argentino,1
Argos,2
Ari,15
Ari-Pekka,2
Aria,1
Ariadna,1
Ariana,4
Ariane,6
Arianna,7
Arianne,1
Ariannis,1
Aric,1
Arie,7
Arieh,3
Ariel,19
Aries,1
Arif,7
Arigoma,1
Arihito,1
Arij,1
Arijana,1
Arild,1
Arina,2
Ariosto,1
Arisa,2
Aristeo,1
Aristide,3
Aristidis,9
Ariya,2
Arjan,1
Arje,1
Arjomand,1
Arjun,3
Arkadi,2
Arkadiusz,5
Arkadiy,1
Arkady,3
Arkdijs,1
Arkom,1
Arlan,1
Arlee,2
Arlen,1
Arlene,4
Arlenis,1
Arleta,1
Arletta,2
Arlette,1
Arli,1
Arlie,1
Arlindo,1
Arlo,1
Armah,1
Armais,1
Arman,4
Armand,15
Armandas,1
Armando,41
Armands,1
Armas,2
Armen,4
Armenak,2
Armido,2
Armin,19
Arminas,1
Arnaldo,9
Arnas,3
Arnaud,13
Arnd,3
Arndt,1
Arne,33
Arnfinn,4
Arnholdt,1
Arno,4
Arnold,59
Arnoldo,4
Arnolds,3
Arnot,2
Arnr,1
Arnstein,1
Arnt,1
Arnulf,3
Arnulfo,4
Aroldo,3
Aron,7
Arout,1
Arpad,1
Arqumedes,2
Arran,2
Arrigo,2
Arsen,7
Arsenio,3
Arseny,1
Arshad,3
Arshak,1
Arslanbek,1
Arsne,5
Arson,1
Arstides,1
Artem,5
Artemi,1
Artemio,1
Artemus,1
Arthur,134
Arthure,1
Artidoro,1
Arto,7
Artour,2
Artr,1
Artras,1
Artrs,5
Artur,27
Arturo,42
Artuur,1
Artyom,20
Arumugam,1
Arun,1
Arusyak,1
Arvds,3
Arvedo,1
Arvi,1
Arvid,9
Arvin,1
Arvis,1
Arvo,6
Arvydas,2
Arwut,1
Arya,2
Asadollah,1
Asadulla,1
Asaf,2
Asafu,1
Asako,1
Asami,3
Asamoah,1
Asaramanitra,1
Asber,1
Asbjrn,6
Asdrbal,1
Asdrudes,1
Aselefech,1
Asen,6
Asena,1
Asenaca,2
Asencin,1
Aser,1
Aset,1
Asf,1
Asghar,10
Asha,2
Ashani,1
Ashanti,1
Ashari,2
Ashish,4
Ashlee,2
Ashleigh,7
Ashley,182
Ashok,4
Ashols,1
Ashraf,6
Ashton,13
Asimina,1
